name, size, input_bits, output_bits, helper_bits, h_arity, h_calls_gb, h_calls_ev, adaptive, free_vars, formula_size,satisfiable,time,smt_time
free-xor,0,2,1,0,1,0,0,1,224,5102,1,1,
half-gate-cheaper,2,2,1,0,1,4,1,1,1960,92690,0,22435,
half-gate,2,2,1,0,1,4,2,0,1972,117586,1,5,
cheaper-and,3,2,1,0,2,4,1,1,2296,108130,1,7,
nested-xor,0,3,1,0,1,0,0,1,1472,46086,1,6,
one-third-gate-big,2,2,1,1,1,4,2,1,4856,736358,1,257,
and-xor,2,3,1,0,1,4,2,1,9416,652294,1,48,
adder-nohelper,2,3,2,0,1,4,2,1,10376,673094,0,,
and3-nohelper,4,3,1,0,1,8,4,1,23728,3973862,,,
and3-smaller,3,3,1,1,1,8,4,1,44192,8020550,,,
and3,4,3,1,1,1,8,4,1,47456,7948230,,,
cheaper-and2,2,2,1,0,1,4,1,1,2048,112914,,,
one-third-gate,1,2,1,1,1,4,2,1,4104,716454,0,74,
adder,2,3,2,1,1,4,2,1,26640,4205062,,,
eq,2,4,1,0,1,4,2,1,44144,3497286,1,364,
eq-smaller,1,4,1,0,1,4,2,1,39248,3535942,0,354,
leq,1,4,1,0,1,2,1,1,23296,1155686,0,77,
leq2,2,4,1,0,1,4,2,1,44144,3498150,0,,25095
eq-smaller2,2,4,1,0,1,3,2,1,31216,2242310,0,212,
mux,2,3,1,0,1,4,2,1,9416,654433,1,,189
mux2,2,3,1,0,1,4,2,0,9368,654433,1,,40
lt,2,4,1,0,1,4,2,1,44144,3502425,0,12762,12624
